"experiment","group","AIC","AICKlauer","BIC","BICKlauer","np","nq","p","q"
1,1,147.154640212233,147.15,161.969770110858,161.97,0.146666664787852,0.179999999998074,0.803333333333342,0.51
1,2,176.281874519645,176.28,191.562206241055,191.56,0.225519287833828,0.28486646884273,0.756676557863518,0.528189910979229
2,1,152.024747741641,152.02,167.316931323574,167.32,0.165680473372781,0.174556213017751,0.760355029585799,0.479289940828402
2,2,131.126591588042,131.13,145.941721486667,145.94,0.21,0.303333333333333,0.756666666666667,0.34
3,1,185.410265965577,185.41,200.666788092878,200.67,0.173134328358209,0.223880597014925,0.737313432836651,0.501492537313433
3,2,71.3970763184816,71.4,86.4200451728292,86.42,0.10126582278481,0.186708860759482,0.712025316455696,0.348101265822785
4,1,160.488875205935,160.49,175.511844060283,175.51,0.161392405063291,0.205696202531646,0.772151898734177,0.509493670886076
4,2,109.876997010191,109.88,124.9126041057,124.91,0.104100945842087,0.170347003154574,0.703470031545741,0.429022082018927
5,1,183.920423605236,183.92,199.294601273361,199.29,0.133333333333333,0.150724637681159,0.797101449275362,0.518840579710145
5,2,190.967545952791,190.97,206.456017110693,206.46,0.157746478873239,0.191549295774648,0.774647887323944,0.445070422535198
5,3,118.271534500475,118.27,133.394508563645,133.39,0.12962962962963,0.256172839506171,0.657407407407407,0.648148148148148
5,4,150.503824318541,150.5,165.318954217165,165.32,0.233333333333333,0.323333333318869,0.523333333333333,0.57
6,1,121.439738852034,121.44,136.575039581353,136.58,0.239999999997227,0.289230769230769,0.618461538461858,0.52
6,2,85.6994966631721,85.7,100.72246551752,100.72,0.151898732879138,0.30379746835443,0.724683544303797,0.541139240506329
6,3,109.674247978995,109.67,124.722453510115,124.72,0.270440251572327,0.29874213836478,0.726415094339623,0.408805031446541
6,4,97.4162628782835,97.42,112.56385240375,112.56,0.251533742331288,0.257668711656441,0.748466257669095,0.564417177914391
