"experiment","group","AIC","AICKlauer","BIC","BICKlauer","a","c","d","i","np","nq","p","q","sb","sf","sfb","x"
1,1,28.3618608642773,28.36,72.8072505601517,72.81,0.808339212696449,0.466144768664367,0.876630973022952,0.899196768192304,0.140331608440446,0.315550532073431,0.496621800783627,0.426085336439321,0.895460914774317,0.944736776774029,0.905923748519344,0.9663481145632
1,2,25.7213977598992,25.72,71.5623929241276,71.56,0.763107432964453,0.497171400396845,0.776446616393645,0.815675197553383,0.15356865512641,0.434746231355757,0.693263011377733,0.526025326101778,0.976379742395027,0.904135966253443,0.811325069688403,0.943546770641223
2,1,24.5857460271209,24.59,70.4622967729171,70.46,0.781366212337985,0.4874647671594,0.870215468000014,0.919300464587035,0.346760951850932,0.402087921298179,0.333797075724984,0.301193319494128,1,0.952508111204913,0.923488156828025,0.967064782216039
2,2,29.5108719433656,29.51,73.95626163924,73.96,0.774889284622381,0.692697601606482,0.960201947996447,0.807689524194049,0.3599332017904,0.632640167542658,0.292191394307552,0.567846162501181,0.844597394510818,0.91793330943035,0.886119531937356,0.838056887000914
3,1,24.9046707976825,24.9,70.6742371795833,70.67,0.803622922252952,0.489366070086138,0.786743988642235,0.906410035158568,0.231863210049478,0.482572024281613,0.479874149310248,0.363493215417032,0.88815215369501,0.922658697549089,0.855970252790708,0.985584123201842
3,2,25.4830162830965,25.48,70.5519228461394,70.55,0.616798787113388,0.799856083067389,0.753202837788085,0.95739375908964,0.18067687429977,0.273722888253122,0.602807218299819,0.439337972550728,0.571236029064562,0.978575299078319,0.948647579851761,0.907332869937625
4,1,26.6594879561892,26.66,71.7283945192321,71.73,0.745978878470754,0.430172647607271,0.904075669791931,0.921539721528557,0.224810707373936,0.338979492311665,0.44868991401844,0.49407628189155,0.666496806586909,0.982508194053803,0.863263753840943,0.971124818727087
4,2,32.6368262141889,32.64,77.7436475007162,77.74,0.616381037388598,0.800580680796107,0.792909916632552,0.98351981754426,0.106252110184293,0.34504297498893,0.64326638423305,0.606022201661105,0.853121574317698,0.888016476046491,0.882468380589433,1
5,1,25.2368297393434,25.24,71.3593627437197,71.36,0.859721331617307,0.475916673722967,0.816914685929645,0.929072840118014,0.373493146574135,0.306922881205257,0.374143468861515,0.343110887522979,0.867972553253359,1,0.903378991065008,0.985134212834
5,2,32.9606837695585,32.96,79.4260972432635,79.43,0.784801829471644,0.559831710024326,0.854959904024709,0.933619526891379,0.357564390200967,0.356708534014934,0.4834160741344,0.465042653133523,0.759697847341763,0.99345325363838,0.845566195665004,1
5,3,30.4950827140738,30.5,75.8640049035817,75.86,0.704504911598642,0.476243764013603,0.414634796501369,0.915161756656155,0.100233695349456,0.533738180147232,0.697461423885545,0.411272089129135,1,0.905894850367209,0.905984641093504,0.918780422122816
5,4,28.4311620565506,28.43,72.8765517524251,72.88,0.636481093418476,0.506074683846404,0.410574810935205,0.889058683446368,0.16018593647729,0.441145473321554,0.550845940875283,0.452906264720728,1,0.854982257886271,0.632124952713471,0.914290093870318
6,1,28.7939546503153,28.79,74.1998568382722,74.2,0.632137625629892,0.471610022995425,0.82042244266408,0.824084600111167,0.223680955409709,0.422696469735429,0.332063491088358,0.473286520595025,1,0.82463590242456,0.859779500675434,0.947200113107306
6,2,25.9377305737921,25.94,71.0066371368351,71.01,0.532983765875324,0.442511651585897,0.750279543577138,0.818660736360437,0.0911197741769271,0.426734192588301,0.635438309884941,0.436939706667756,0.840477924137926,0.815565796438823,0.937736617299562,0.998360011223645
6,3,27.4795057054221,27.48,72.6241222987842,72.62,0.650736212532624,0.489204719602812,0.774274396408828,0.859650030547691,0.35577619421991,0.386697022872575,0.596533253771277,0.305421899218905,0.544849400375484,0.940312373838984,0.828884308531973,0.853307125681065
6,4,26.5121859056442,26.51,71.9549544820447,71.95,0.506458311697243,0.392481176821444,0.736386153203749,0.779981085975264,0.200949489669785,0.218797220404863,0.716706132273886,0.524733622171063,0.705760668482433,0.818257577740525,0.855379903817497,0.925703565187301
