"experiment","group","AIC","AICKlauer","BIC","BICKlauer","a","c","d","i","np","nq","p","q","s","x"
1,1,25.2767964888933,25.28,62.3146212354553,62.31,0.809797732723693,0.465555727469464,0.874914954946228,0.90036768167644,0.132804981095235,0.331119249370056,0.504210508867016,0.410659846697794,0.922438694042852,0.965735923138621
1,2,25.8900395095725,25.89,64.0908688130961,64.09,0.763757446439747,0.498896827228431,0.760575848845995,0.814815728567586,0.14706599346407,0.407828793808292,0.725187703789724,0.52914061919234,0.857992307898008,0.941228104682509
2,1,21.2904393538051,21.29,59.5208983086353,59.52,0.787846687490574,0.491879528069849,0.865368888510217,0.919517201507201,0.335802023171619,0.403623140112017,0.345689705549619,0.30962457666668,0.932467018767582,0.965558841569515
2,2,25.6552130106804,25.66,62.6930377572424,62.69,0.772433301260259,0.695796466324908,0.958662671339767,0.807475022249011,0.373210230719891,0.652745676276797,0.287438451419282,0.545947492519108,0.915482139457854,0.835929912773698
3,1,22.8528559500915,22.85,60.9941612683421,60.99,0.805614683535442,0.490618256544858,0.785363063272118,0.907787619441948,0.223881116479709,0.502152166290729,0.489719352199857,0.352450647708524,0.88439940847116,0.984393884849225
3,2,29.368292253758,29.37,66.9257143896271,66.93,0.618883761696135,0.753915123242629,0.830368286343956,0.969690908070355,0.194774352589238,0.436707605289893,0.473084327551241,0.340498508452346,0.987912356851772,0.911317059594375
4,1,29.7440253712668,29.74,67.301447507136,67.3,0.754830229650125,0.431828796458307,0.902889407247168,0.925692672232046,0.213626414794148,0.40840521108694,0.45033412887519,0.447835343821054,0.910185542885585,0.969184943694533
4,2,28.7325150815295,28.73,66.3215328203023,66.32,0.620249582369121,0.79535115420436,0.793434424763049,0.984787046914601,0.108634986080236,0.357316673239756,0.638414304053272,0.595355324395115,0.886385404671566,1
5,1,27.9740621764045,27.97,66.4095063467181,66.41,0.864802785373447,0.479892674802123,0.825781653252632,0.931228185792357,0.323835533551407,0.407479817896627,0.383869341386679,0.315473629034894,0.938466451565855,0.980378570534447
5,2,41.6835927758377,41.68,80.4047706705919,80.4,0.776766178794578,0.575281244577238,0.864045629048479,0.941341531150262,0.434609943353496,0.53265204394658,0.414527231431709,0.368713088177243,0.950609511745512,1
5,3,29.4595406580274,29.46,67.2669758159507,67.27,0.708937029367316,0.483438616611,0.392461490813972,0.912716038274508,0.103351225891214,0.492022660080479,0.734268561266848,0.426701236172727,0.917828932696201,0.911009360066443
5,4,44.2834202711451,44.28,81.3212450177071,81.32,0.645021172663325,0.509018744266059,0.396947279319891,0.880247643728367,0.158395571114597,0.383143234580075,0.557008647492633,0.492826222540974,0.765651749077937,0.906539962981629
6,1,25.2598442553056,25.26,63.0980960786029,63.1,0.625489016735007,0.469103976888586,0.835849223228079,0.820743617214969,0.226184919651778,0.38547330824248,0.32349766317656,0.510965464560957,0.844405255628509,0.947168871650868
6,2,25.1941210032769,25.19,62.751543139146,62.75,0.544902783463632,0.453514289499213,0.7811482390577,0.814110021524586,0.10424005773983,0.429792866654724,0.605768454814005,0.455091983855593,0.901618803389522,1
6,3,26.923823755558,26.92,64.5443375833598,64.54,0.644495189993483,0.484913313986423,0.858533505094562,0.863169615633085,0.347779936105357,0.507800041020871,0.507577369255406,0.281250697204126,0.902203932172988,0.838926445768531
6,4,23.1455863368742,23.15,61.0145601505413,61.01,0.522697340051224,0.391327399536203,0.759473714314093,0.791442605339273,0.218058718109934,0.244755563270307,0.694580475748287,0.511665744567172,0.855360026219806,0.936191662516354
