"experiment","group","AIC","AICKlauer","BIC","BICKlauer","a","c","d","i","np","npf","nq","nqf","p","pf","q","qf","s","x"
1,1,29.6492218739256,29.65,81.5021765191124,81.5,0.805000307707203,0.287024213338963,0.77796374879112,0.859570857772698,0,0.781750489677592,0.0938767301942278,0.934963952780756,0.993907547299574,0.928275348076197,0,0.93969701064517,0.881030195936863,0.931656954111021
1,2,30.048282465897,29.12,83.5294434908301,82.6,0.888346553232161,0.461549477859709,0.710441792640899,0.730048159866138,1,0.728347722984231,0.717713611784508,0.93355001517306,0,1,0.0599966209082002,0.923428034275009,1,0.868444590976443
2,1,28.3234918189464,28.32,81.8461343557087,81.85,0.828631593111979,0.440573196634094,0.860855621036721,0.910518518570046,0.299184898900797,0.994800664030127,0.402150500311188,1,0.326491192456775,0.981427005526991,0.420561582893214,0.891701887155305,0.921250278990524,0.959172612114961
2,2,29.8131639547569,29.81,81.6661185999437,81.67,0.887788129797276,0.647137996036161,0.929185943248448,0.754481128904431,0.715451250604872,0.716071856826155,0.904019120543326,0.937732441721111,0,1,0.600407084537687,0.941876542661787,0.878987593256783,0.784809607905357
3,1,28.585558990796,28.59,81.9833864363469,81.98,0.848648199385873,0.454315192590192,0.730447591803689,0.840245458765679,0.86798958698981,0.736274377875863,0.718573706200336,0.942879603172712,0.000139865662768923,0.998870441487073,0.113196260258576,0.885588322763378,1,0.937371624102235
3,2,32.2077414762455,30.43,84.7881324664622,83.01,0.45463026229507,0.595987210700403,0.319941847414802,0.711674396283818,0.164034935833777,0.404193134996266,0.0226600802581324,0.926848094370689,1,0.947302764855994,0.286560648437032,0.814946280988278,0.65839370970395,0.770149448997744
4,1,29.6775531780563,29.56,82.2579441682731,82.14,0.651830550648296,0.0839615799845206,0.484647607028865,0.85584269968106,0.0392495925082559,0.755188990087186,0.129785181700581,0.838456697829594,1,0.89734925921417,0.0525442739825977,0.9556497783818,0.811671670500648,0.93602876106983
4,2,28.4657701714348,28.47,81.0903950057167,81.09,0.84603324271747,0.74224245150156,0.760848634275692,0.975840384296022,0.339675071898769,0.611129573182416,0.900766505146922,0.812727922834532,0.792902863844316,0.985005772506995,0.779154908091092,1,0.850461863202387,0.947787411666172
5,1,28.2429138251491,31.77,82.0525356635882,85.58,0.906141667995834,0.454953977981257,0.831427630009767,0.895210760864,0.760517539542754,0.922501247474415,0.889499438074211,0.864106680205622,0.00576520324273388,0.955915465791585,0.102273401072524,0.932201269339829,1,0.955603659084351
5,2,33.9363569259242,31.74,88.14600597858,85.95,0.87070670044923,0.494490008949647,0.835991827099589,0.854100364176243,0.792337901835523,0.808543426179161,1,0.751880214883179,0,0.971410593774961,0.198141815667516,0.851160169047056,1,0.95582886247644
5,3,32.2377008147034,31.31,85.168110035796,84.24,0.637388691294536,0.385324910795682,0.987522412500794,0.727414616922801,0.00718684265221249,0.656340548308556,0.141935884105898,0.969821995144708,0.345586723027498,0.964309284705515,1,0.932170599523541,0.849537887121692,0.922770254053527
5,4,36.97667297562,31.45,88.8296276208068,83.3,0.655476155764411,0.322513669134238,1,0.744947676305651,0.0556223163302476,0.75470896031013,0.186744172332762,0.969563645558639,0.173246658477675,0.950435063816804,1,0.857642312570825,0.689554334764853,0.935348037588823
6,1,28.8271013484673,28.84,81.8006539010836,81.81,0.801788221487653,0.439084485045643,0.88525478063201,0.786494043756966,0.409866854784166,0.765822586724411,0.376124293318648,1,0.180044506730414,0.899137990863371,0.575114099219692,0.983767074485765,0.832555360127519,0.914858816632691
6,2,30.5218270130247,30.52,83.1022180032414,83.1,0.749870709412405,0.454212640553272,0.814748865728778,0.70544764058067,0.590902970451245,0.536062197098294,0.469721334950052,0.940994082420641,0.158855456062127,1,0.307035695434526,1,1,0.967062941959885
6,3,28.1272842142148,28.13,80.7960035731373,80.8,0.876742105387768,0.365295751083582,0.732152371243021,0.751185440326798,0.618112662888551,0.776019310348288,0.819091619782587,0.845931766292476,0.0365146412339456,1,0.119675192995629,0.734057279950026,0.920138559936709,0.764517767764149
6,4,28.0386406281664,28.22,81.0552039673003,81.23,0.939747316112969,0.328398304940873,0.814075544003022,0.706871409651166,0.0256520283121184,0.71829103484713,0.335531439308621,0.738757328521743,0,0.967699510242125,0.748642584025134,0.901070143263382,0.842395200608274,0.86664342199917
